Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAPL,"Apple Inc",166.02,6.01,+3.76%,160.84,166.56,160.75,60514285,"15:28 ET"
ACN,"Accenture Plc",308.81,6.33,+2.09%,302.08,309.045,301.62,761868,"15:28 ET"
ADBE,"Adobe Systems Inc",423.98,14.02,+3.42%,412.81,424.92,412.02,1441553,"15:28 ET"
ADI,"Analog Devices",176.04,5.27,+3.09%,171,176.55,171,1210328,"15:28 ET"
ADP,"Automatic Data Procs",244.74,4.12,+1.71%,241.23,244.9,240.055,600354,"15:28 ET"
ADSK,"Autodesk Inc",219.08,2.9,+1.34%,216.64,220.35,215.99,849122,"15:28 ET"
AKAM,"Akamai Technologies",96.38,1.54,+1.62%,95.66,96.89,95.35,598779,"15:28 ET"
AMAT,"Applied Materials",109.63,4.64,+4.42%,105.74,110.6,105.68,3653095,"15:28 ET"
AMD,"Adv Micro Devices",97.84,-1.45,-1.46%,94.83,98.7693,94.27,113794911,"15:28 ET"
ANET,"Arista Networks Inc",120.72,3.58,+3.06%,118.24,122.41,117.99,1563695,"15:28 ET"
ANSS,"Ansys Inc",281.87,5.77,+2.09%,276.18,283.35,276.18,423347,"15:28 ET"
APH,"Amphenol Corp",77.13,0.69,+0.90%,76.68,77.51,76.36,1221432,"15:28 ET"
AVGO,"Broadcom Ltd",545.84,14.63,+2.75%,535.29,548,534.12,1016945,"15:28 ET"
BR,"Broadridge Financial Solutions Llc",165.08,1.8,+1.10%,163.88,165.55,163.39,174942,"15:28 ET"
CDAY,"Ceridian Hcm Holding Inc",58.67,3.4,+6.15%,56.69,59.15,56.01,1322240,"15:28 ET"
CDNS,"Cadence Design Sys",182.54,-0.91,-0.50%,182.185,183.05,176.25,2278647,"15:28 ET"
CDW,"CDW Corp",181.54,1.21,+0.67%,180.33,182.73,177.725,624769,"15:28 ET"
CRM,"Salesforce Inc",190.08,6.29,+3.42%,185.53,190.68,185.37,4258036,"15:28 ET"
CSCO,"Cisco Systems Inc",45.67,0.75,+1.67%,44.9,45.74,44.79,8190877,"15:28 ET"
CTSH,"Cognizant Tech Sol",68.82,1.25,+1.85%,68.1,69.09,67.75,1578903,"15:28 ET"
CTXS,"Citrix Systems Inc",102.04,0.090000000000003,+0.09%,101.95,102.5599,101.95,400793,"15:27 ET"
DXC,"Dxc Technology Company",31.46,0.34,+1.09%,31.4,31.855,31.18,828104,"15:27 ET"
ENPH,"Enphase Energy Inc",290.36,-1.9,-0.65%,290.52,292.6854,275.23,3961320,"15:28 ET"
EPAM,"Epam Systems Inc",368.72,4.39,+1.20%,366.65,374.535,365.46,269594,"15:27 ET"
FFIV,"F5 Inc",170.9,5.5,+3.33%,165.56,170.945,165.2,388280,"15:28 ET"
FIS,"Fidelity National Information Services",104.39,2.2,+2.15%,103,105.16,102.79,1652596,"15:28 ET"
FISV,"Fiserv Inc",108.28,2.05,+1.93%,106.8,108.47,106.54,1408916,"15:28 ET"
FLT,"Fleetcor Technologies",226.88,3.86,+1.73%,225.31,227.52,224.7,168358,"15:28 ET"
FTNT,"Fortinet Inc",62.92,2.55,+4.22%,61.19,63.16,60.83,3445267,"15:28 ET"
GLW,"Corning Inc",36.53,0.42,+1.16%,36.3,36.64,36.1,1571632,"15:28 ET"
GPN,"Global Payments Inc",130.27,3.82,+3.02%,127.71,131.31,127.08,1880295,"15:28 ET"
