,Symbol,Name,Sector
0,AAPL,Apple Inc,information-technology
1,ACN,Accenture Plc,information-technology
2,ADBE,Adobe Systems Inc,information-technology
3,ADI,Analog Devices,information-technology
4,ADP,Automatic Data Procs,information-technology
5,ADSK,Autodesk Inc,information-technology
6,AKAM,Akamai Technologies,information-technology
7,AMAT,Applied Materials,information-technology
8,AMD,Adv Micro Devices,information-technology
9,ANET,Arista Networks Inc,information-technology
10,ANSS,Ansys Inc,information-technology
11,APH,Amphenol Corp,information-technology
12,AVGO,Broadcom Ltd,information-technology
13,BR,Broadridge Financial Solutions Llc,information-technology
14,CDAY,Ceridian Hcm Holding Inc,information-technology
15,CDNS,Cadence Design Sys,information-technology
16,CDW,CDW Corp,information-technology
17,CRM,Salesforce Inc,information-technology
18,CSCO,Cisco Systems Inc,information-technology
19,CTSH,Cognizant Tech Sol,information-technology
20,CTXS,Citrix Systems Inc,information-technology
21,DXC,Dxc Technology Company,information-technology
22,ENPH,Enphase Energy Inc,information-technology
23,EPAM,Epam Systems Inc,information-technology
24,FFIV,F5 Inc,information-technology
25,FIS,Fidelity National Information Services,information-technology
26,FISV,Fiserv Inc,information-technology
27,FLT,Fleetcor Technologies,information-technology
28,FTNT,Fortinet Inc,information-technology
29,GLW,Corning Inc,information-technology
30,GPN,Global Payments Inc,information-technology
31,HPE,Hewlett Packard Enterprise Comp,information-technology
32,HPQ,HP Inc,information-technology
33,IBM,International Business Machines,information-technology
34,INTC,Intel Corp,information-technology
35,INTU,Intuit Inc,information-technology
36,IT,Gartner Inc,information-technology
37,JKHY,Jack Henry & Assoc,information-technology
38,JNPR,Juniper Networks,information-technology
39,KEYS,Keysight Technologies Inc Comm,information-technology
40,KLAC,K L A-Tencor Corp,information-technology
41,LRCX,Lam Research Corp,information-technology
42,MA,Mastercard Inc,information-technology
43,MCHP,Microchip Technology,information-technology
44,MPWR,Monolithic Power Sys,information-technology
45,MSFT,Microsoft Corp,information-technology
46,MSI,Motorola Solutions,information-technology
47,MU,Micron Technology,information-technology
48,NLOK,Nortonlifelock Inc,information-technology
49,NOW,Servicenow Inc,information-technology
50,NTAP,Netapp Inc,information-technology
51,NVDA,Nvidia Corp,information-technology
52,NXPI,Nxp Semiconductors,information-technology
53,ON,On Semiconductor,information-technology
54,ORCL,Oracle Corp,information-technology
55,PAYC,Paycom Software Inc,information-technology
56,PAYX,Paychex Inc,information-technology
57,PTC,Ptc Inc,information-technology
58,PYPL,Paypal Holdings,information-technology
59,QCOM,Qualcomm Inc,information-technology
60,QRVO,Qorvo Inc,information-technology
61,ROP,Roper Industries,information-technology
62,SEDG,Solaredge Tech,information-technology
63,SNPS,Synopsys Inc,information-technology
64,STX,Seagate Technology Hldgs Plc,information-technology
65,SWKS,Skyworks Solutions,information-technology
66,TDY,Teledyne Technologies Inc,information-technology
67,TEL,Te Connectivity Ltd,information-technology
68,TER,Teradyne Inc,information-technology
69,TRMB,Trimble Navigation,information-technology
70,TXN,Texas Instruments,information-technology
71,TYL,Tyler Technologies,information-technology
72,V,Visa Inc,information-technology
73,VRSN,Verisign Inc,information-technology
74,WDC,Western Digital Cp,information-technology
75,ZBRA,Zebra Technologies,information-technology
0,ATVI,Activision Blizzard,communication-services
1,CHTR,Charter Communicatio,communication-services
2,CMCSA,Comcast Corp A,communication-services
3,DIS,Walt Disney Company,communication-services
4,DISH,Dish Network Corp,communication-services
5,EA,Electronic Arts Inc,communication-services
6,FOX,Fox Corp Cl B,communication-services
7,FOXA,Fox Corp Cl A,communication-services
8,GOOG,Alphabet Cl C,communication-services
9,GOOGL,Alphabet Cl A,communication-services
10,IPG,Interpublic Group of Companies,communication-services
11,LUMN,Centurylink,communication-services
12,LYV,Live Nation Entertainment,communication-services
13,META,Meta Platforms Inc,communication-services
14,MTCH,Match Group Inc,communication-services
15,NFLX,Netflix Inc,communication-services
16,NWS,News Cp Cl B,communication-services
17,NWSA,News Cp Cl A,communication-services
18,OMC,Omnicom Group Inc,communication-services
19,PARA,Paramount Global Cl B,communication-services
20,T,AT&T Inc,communication-services
21,TMUS,T-Mobile US,communication-services
22,TTWO,Take-Two Interactive,communication-services
23,TWTR,Twitter Inc,communication-services
24,VZ,Verizon Communications Inc,communication-services
25,WBD,Discovery Inc Series A,communication-services
0,APA,Apa Corp,energies
1,BKR,Baker Hughes A Ge Co. Cl A,energies
2,COP,Conocophillips,energies
3,CTRA,Coterra Energy Inc,energies
4,CVX,Chevron Corp,energies
5,DVN,Devon Energy Corp,energies
6,EOG,Eog Resources,energies
7,FANG,Diamondback Energy,energies
8,HAL,Halliburton Company,energies
9,HES,Hess Corp,energies
10,KMI,Kinder Morgan,energies
11,MPC,Marathon Petroleum Corp,energies
12,MRO,Marathon Oil Corp,energies
13,OKE,Oneok Inc,energies
14,OXY,Occidental Petroleum Corp,energies
15,PSX,Phillips 66,energies
16,PXD,Pioneer Natural Resources Company,energies
17,SLB,Schlumberger N.V.,energies
18,VLO,Valero Energy Corp,energies
19,WMB,Williams Companies,energies
20,XOM,Exxon Mobil Corp,energies
0,AEE,Ameren Corp,utilities
1,AEP,American Electric Power Company,utilities
2,AES,The Aes Corp,utilities
3,ATO,Atmos Energy Corp,utilities
4,AWK,American Water Works,utilities
5,CEG,Constellation Energy Corp,utilities
6,CMS,Cms Energy Corp,utilities
7,CNP,Centerpoint Energy Inc,utilities
8,D,Dominion Resources,utilities
9,DTE,Dte Energy Company,utilities
10,DUK,Duke Energy Corp,utilities
11,ED,Consolidated Edison Company,utilities
12,EIX,Edison International,utilities
13,ES,Eversource Energy,utilities
14,ETR,Entergy Corp,utilities
15,EVRG,Evergy Inc,utilities
16,EXC,Exelon Corp,utilities
17,FE,Firstenergy Corp,utilities
18,LNT,Alliant Energy Corp,utilities
19,NEE,Nextera Energy,utilities
20,NI,NiSource Inc,utilities
21,NRG,NRG Energy,utilities
22,PEG,Public Service Enterprise Group Inc,utilities
23,PNW,Pinnacle West Capital Corp,utilities
24,PPL,PPL Corp,utilities
25,SO,Southern Company,utilities
26,SRE,Sempra,utilities
27,WEC,Wisconsin Energy Corp,utilities
28,XEL,XCEL Energy Inc,utilities
0,AMT,American Tower Corp,real-estate
1,ARE,Alexandria Real Estate Equities,real-estate
2,AVB,Avalonbay Communities,real-estate
3,BXP,Boston Properties,real-estate
4,CBRE,CBRE Group Inc,real-estate
5,CCI,Crown Castle Inc,real-estate
6,CPT,Camden Property Trust,real-estate
7,DLR,Digital Realty Trust,real-estate
8,DRE,Duke Realty Corp,real-estate
9,EQIX,Equinix Inc,real-estate
10,EQR,Equity Residential,real-estate
11,ESS,Essex Property Trust,real-estate
12,EXR,Extra Space Storage Inc,real-estate
13,FRT,Federal Realty Investment Trust,real-estate
14,HST,Host Marriott Financial Trust,real-estate
